AÑO	P [mm]					ln (x)	P ordenados de mayor a menor	Orden i	n-i	xi * (n-i)	xi * (n-i)*(n-i-1)	xi * (n-i)*(n-i-1)*(n-i-2)
												
1980	27.5	-15.29	233.8698819	-3576.526476	54695.12164	3.313	84.63	1	39.000	3300.637	125424.206	4640695.633
1981	49.4	6.65	44.26339643	294.4876612	1959.248263	3.900	79.42	2	38.000	3017.792	111658.316	4019699.382
1982	34.8	-7.99	63.84364981	-510.124944	4076.011621	3.549	76.33	3	37.000	2824.187	101670.730	3558475.557
1983	40.9	-1.90	3.628021127	-6.910424257	13.1625373	3.710	70.94	4	36.000	2553.818	89383.613	3039042.844
1984	21.1	-21.64	468.2505221	-10132.5185	219258.5514	3.050	70.16	5	35.000	2455.493	83486.777	2755063.657
1985	52.1	9.31	86.67506064	806.9399764	7512.566137	3.953	66.68	6	34.000	2267.104	74814.439	2394062.043
1986	26.0	-16.73	279.800585	-4680.291762	78288.36735	3.260	64.03	7	33.000	2112.924	67613.571	2096020.689
1987	63.9	21.15	447.2748803	9459.36018	200054.8185	4.158	63.91	8	32.000	2045.226	63401.994	1902059.808
1988	23.8	-18.94	358.8787842	-6798.634243	128793.9817	3.171	55.94	9	31.000	1734.233	52026.990	1508782.713
1989	48.2	5.44	29.6078983	161.1058723	876.627642	3.875	53.99	10	30.000	1619.609	46968.648	1315122.131
1990	40.6	-2.17	4.689576595	-10.15547989	21.99212864	3.704	52.25	11	29.000	1515.199	42425.572	1145490.435
1991	25.9	-16.90	285.6475809	-4827.761707	81594.54046	3.253	52.07	12	28.000	1458.082	39368.224	1023573.816
1992	29.3	-13.51	182.5370411	-2466.189869	33319.77136	3.376	49.42	13	27.000	1334.273	34691.085	867277.125
1993	79.4	36.65	1343.307661	49233.78645	1804475.473	4.375	48.21	14	26.000	1253.349	31333.731	752009.541
1994	52.2	9.48	89.94275072	853.0004263	8089.698407	3.956	46.68	15	25.000	1167.109	28010.621	644244.284
1995	55.9	13.18	173.6748215	2288.786546	30162.94364	4.024	44.95	16	24.000	1078.696	24810.003	545820.073
1996	27.1	-15.68	245.988317	-3858.084379	60510.25209	3.299	42.90	17	23.000	986.761	21708.753	455883.811
1997	32.6	-10.21	104.1844335	-1063.4186	10854.39619	3.483	40.86	18	22.000	898.913	18877.176	377543.529
1998	54.0	11.22	125.9450759	1413.421811	15862.16215	3.989	40.60	19	21.000	852.577	17051.531	323979.084
1999	66.7	23.92	571.9324727	13677.82783	327106.7533	4.200	35.86	20	20.000	717.218	13627.141	245288.539
2000	21.2	-21.55	464.495668	-10010.88568	215756.2256	3.055	35.38	21	19.000	672.272	12100.901	205715.321
2001	34.2	-8.60	73.93885758	-635.7832822	5466.95466	3.531	34.77	22	18.000	625.936	10640.906	170254.501
2002	70.2	27.39	750.3507042	20554.00424	563026.1793	4.251	34.17	23	17.000	580.816	9293.058	139395.873
2003	46.7	3.92	15.3659501	60.23364258	236.1124224	3.843	33.64	24	16.000	538.305	8074.570	113043.981
2004	29.5	-13.29	176.711511	-2349.077043	31226.95813	3.383	32.56	25	15.000	488.360	6837.043	88881.561
2005	35.4	-7.38	54.48910475	-402.2207846	2969.062536	3.566	31.86	26	14.000	446.066	5798.859	69586.311
2006	31.9	-10.90	118.8658515	-1295.942279	14129.09065	3.461	29.47	27	13.000	383.125	4597.497	50572.472
2007	35.9	-6.90	47.65870262	-329.013201	2271.351935	3.580	29.30	28	12.000	351.567	3867.239	38672.392
2008	70.9	28.17	793.8277885	22366.05798	630162.5578	4.262	29.30	29	11.000	322.270	3222.699	29004.294
2009	26.3	-16.47	271.1434578	-4464.765928	73518.77473	3.269	29.25	30	10.000	292.538	2632.842	21062.735
2010	44.9	2.18	4.757774919	10.37781295	22.63642218	3.805	29.08	31	9.000	261.719	2093.755	14656.284
2011	84.6	41.87	1752.870169	73387.92781	3072553.829	4.438	27.47	32	8.000	219.773	1538.411	9230.465
2012	42.9	0.14	0.0191125	0.002642264	0.000365288	3.759	27.08	33	7.000	189.563	1137.377	5686.886
2013	33.6	-9.12	83.18139986	-758.6462881	6919.145283	3.516	26.30	34	6.000	157.788	788.940	3155.759
2014	23.1	-19.70	388.2052847	-7648.779917	150703.3431	3.138	26.04	35	5.000	130.186	520.744	1562.231
2015	29.3	-13.47	181.3643773	-2442.462944	32893.03734	3.377	25.86	36	4.000	103.453	310.360	620.720
2016	29.1	-13.68	187.2654851	-2562.634154	35068.36192	3.370	23.82	37	3.000	71.461	142.922	142.922
2017	76.3	33.56	1126.605951	37814.4738	1269240.969	4.335	23.06	38	2.000	46.123	46.123	0.000
2018	29.3	-13.47	181.3643773	-2442.462944	32893.03734	3.377	21.21	39	1.000	21.212	0.000	0.000
2019	64.0	21.26	452.1396935	9614.107045	204430.3024	4.159	21.13	40	0.000	0.000	0.000	0.000
Sumatoria		0.00	12268.56363	168722.6109	9411014.369	147.0748273				41095.7335	1161997.368	34571379.4
