date,SVI,P_IMERG,EVI,SPI_1,SPI_3,SPI_6,SPI_9,SPI_12,SOI,AAO
Jun-00,0.83,1.026,0.116,-0.5075,,,,,-0.2,0.1172
Jul-00,0.79,5.952,0.0942,0.7438,,,,,-0.2,0.0586
Aug-00,0.86,0.5022,0.0893,-0.4492,-0.2439,,,,0.7,-0.6735
Sep-00,0,4.59,0.0894,-0.4528,-0.3901,,,,0.9,-1.8529
Oct-00,-0.37,38.0184,0.1084,0.5002,0.008,,,,1.1,0.3470
Nov-00,1.03,86.58,0.1559,1.1689,0.8355,0.7487,,,1.8,-1.5371
Dec-00,1.16,78.9198,0.1942,0.5633,1.0769,0.9599,,,0.8,-1.2903
Jan-01,0.23,97.8918,0.1943,0.8007,1.4933,1.2249,,,1,-0.4709
Feb-01,-0.85,29.7024,0.1942,-1.6118,-0.2271,0.3817,0.3307,,1.7,-0.2649
Mar-01,0.91,90.21,0.1825,0.9287,0.1979,0.7914,0.7133,,0.9,-0.5548
Apr-01,1.71,51.696,0.1687,1.2357,0.2884,1.0182,0.9496,,0.2,0.5150
May-01,1.3,12.2388,0.1385,0.4633,1.5297,0.8247,1.071,1.0283,-0.5,-0.2622
Jun-01,0.94,3.96,0.1257,0.4311,1.0877,0.6783,1.0919,1.0307,0.3,0.3861
Jul-01,0.76,0.5022,0.0959,-0.9576,0.1385,0.2573,1.0355,0.9533,-0.2,-0.9283
Aug-01,0.98,7.7376,0.0938,0.8756,0.3086,1.3757,0.7867,1.0048,-0.4,0.9103
Sep-01,2.4,49.932,0.0974,2.1583,1.8302,1.9431,1.2558,1.4685,0.2,1.1614
Oct-01,1.83,45.756,0.128,0.862,2.0408,1.8337,1.2349,1.7303,0,1.2771
Nov-01,-0.01,63.738,0.1809,0.3088,1.5544,1.5664,2.2254,1.5736,0.7,0.9958
Dec-01,-0.56,58.0692,0.1934,-0.3305,0.2853,1.1996,1.4706,1.2913,-0.8,1.4736
Jan-02,-0.12,94.6368,0.2053,0.701,0.365,1.4658,1.4804,1.2957,0.4,0.7469
Feb-02,0.31,54.432,0.1926,-0.4493,-0.1979,0.9814,1.0264,1.7681,1.1,1.3341
Mar-02,-0.21,60.2826,0.1822,0.0431,0.0094,0.1364,0.7438,1.0329,-0.2,-1.8235
Apr-02,0.82,32.166,0.1486,0.4331,-0.2742,-0.0039,0.7947,0.8171,-0.1,0.1650
May-02,0.09,6.9936,0.1348,-0.1699,0.0155,-0.1724,0.7237,0.7496,-0.8,-2.7985
Jun-02,0.91,1.062,0.1105,-0.4623,0.1244,-0.0257,0.1036,0.6857,-0.2,-1.1120
Jul-02,0.52,12.4434,0.096,1.6381,0.4448,-0.2332,0.0311,0.8488,-0.5,-0.5909
Aug-02,1.25,11.0298,0.0941,1.19,1.3258,0.3756,0.0735,0.853,-1,-0.0994
Sep-02,0,2.232,0.1042,-0.9396,0.5826,0.2752,0.0799,0.1718,-0.6,-0.8645
Oct-02,0.07,43.0776,0.1105,0.721,0.5574,0.5772,0.0264,0.1732,-0.4,-2.5640
Nov-02,0.36,95.796,0.149,1.4629,1.1314,1.4377,1.1445,0.7088,-0.5,-0.9235
Dec-02,0.67,75.1626,0.1945,0.4098,1.2897,1.4976,1.24,0.9773,-1.1,1.3085
Jan-03,-0.12,82.1376,0.2056,0.2796,1.2468,1.2651,1.3502,0.8276,-0.2,-0.9879
Feb-03,-1.74,62.1432,0.1789,-0.1713,0.1231,0.8646,1.143,0.9844,-0.7,-0.3569
Mar-03,0.89,118.4448,0.1804,1.5837,1.0808,1.5343,1.6874,1.5477,-0.3,-0.1877
Apr-03,0.48,44.046,0.1567,0.9557,1.3324,1.581,1.6658,1.7372,-0.1,0.2243
May-03,0.71,11.067,0.1271,0.3326,1.9835,1.3787,1.687,1.869,-0.3,0.3845
Jun-03,0.36,7.002,0.1138,1.0922,0.9157,1.3921,1.7211,1.8731,-0.6,-0.7745
Jul-03,0.73,9.1326,0.0989,1.2239,0.8928,1.5582,1.7669,1.8299,0.3,0.7270
