date,P_IMERG
Jun-00,-1.026
Jul-00,5.952
Aug-00,0.5022
Sep-00,4.59
Oct-00,38.0184
Nov-00,86.58
Dec-00,78.9198
1-Jan,97.8918
1-Feb,29.7024
1-Mar,90.21
1-Apr,51.696
1-May,12.2388
1-Jun,3.96
1-Jul,0.5022
1-Aug,7.7376
1-Sep,49.932
1-Oct,45.756
1-Nov,63.738
1-Dec,58.0692
2-Jan,94.6368
2-Feb,54.432
2-Mar,60.2826
2-Apr,32.166
2-May,6.9936
2-Jun,1.062
2-Jul,12.4434
2-Aug,11.0298
2-Sep,2.232
2-Oct,43.0776
2-Nov,95.796
2-Dec,75.1626
3-Jan,82.1376
3-Feb,62.1432
3-Mar,118.4448
3-Apr,44.046
3-May,11.067
3-Jun,7.002
3-Jul,9.1326
3-Aug,0.5394
3-Sep,1.71
3-Oct,19.623
3-Nov,43.632
3-Dec,84.537
4-Jan,31.0806
4-Feb,45.153
4-Mar,64.914
4-Apr,34.578
4-May,21.2412
4-Jun,0.36
4-Jul,15.9216
4-Aug,0.2046
4-Sep,2.646
4-Oct,33.3684
4-Nov,58.536
4-Dec,110.4468
5-Jan,88.2198
5-Feb,45.4104
5-Mar,88.9824
5-Apr,21.024
5-May,1.3578
5-Jun,2.304
5-Jul,9.2628
5-Aug,5.8218
5-Sep,7.164
5-Oct,29.4624
5-Nov,71.334
5-Dec,61.6404
6-Jan,80.9472
6-Feb,47.1744
6-Mar,31.341
6-Apr,45.738
6-May,3.906
6-Jun,5.58
6-Jul,0.744
6-Aug,0.372
6-Sep,4.968
6-Oct,23.4546
6-Nov,73.008
6-Dec,93.7998
7-Jan,63.4818
7-Feb,64.5288
7-Mar,103.9182
7-Apr,23.04
7-May,11.6436
7-Jun,1.692
7-Jul,2.6412
7-Aug,0.465
7-Sep,27.432
7-Oct,9.1698
7-Nov,19.242
7-Dec,53.6238
8-Jan,85.3368
8-Feb,78.822
8-Mar,67.5738
8-Apr,5.076
8-May,2.9388
8-Jun,1.314
8-Jul,0.186
8-Aug,1.4694
8-Sep,23.508
8-Oct,27.249
8-Nov,77.616
